candidate_index,candidate_id,canonical_feature_text,member_phrases,fixed_v3_1_b_cluster_id,fixed_v3_1_b_order,normalization_version,merge_review_status,fixed_v3_1_b_inventory_hash,source_words,source_prompt_families,source_models,source_rounds,source_ids,n_independent_responses,n_source_words,n_source_models,candidate_inventory_hash
67,v4_df3d7370bd819d91,long legs,"[""has long legs"", ""long legs""]",B_6116a17f3d3a,67,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""deer"", ""dromedary"", ""frog"", ""giraffe"", ""grasshopper"", ""heron"", ""llama"", ""mosquito"", ""ostrich"", ""stork"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",402,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
68,v4_148249161c66a3ce,six legs,"[""has six legs"", ""six legs""]",B_639483221630,68,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""ant"", ""bee"", ""beetle"", ""bumblebee"", ""butterfly"", ""cockroach"", ""cricket"", ""fly"", ""fruit fly"", ""ladybug"", ""louse"", ""mosquito"", ""wasp""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",517,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
69,v4_31487a836caea041,feathers,"[""feathered"", ""feathers"", ""has feathers""]",B_64a71ea0f3f3,69,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""chicken"", ""crow"", ""cuckoo"", ""dinosaur"", ""duck"", ""eagle"", ""falcon"", ""ostrich"", ""owl"", ""parakeet"", ""parrot"", ""pheasant"", ""robin"", ""rooster"", ""sparrow"", ""turkey""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",434,16,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
70,v4_9bdee279ff33aabc,made of cotton,"[""can be made of cotton"", ""made of cotton"", ""often made of cotton"", ""usually made of cotton""]",B_66965af1aa1c,70,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""apron"", ""blouse"", ""pants"", ""pyjamas"", ""shirt"", ""shorts"", ""socks"", ""t-shirt"", ""towel""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",179,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
71,v4_c08b6bdab20b1c30,used for hunting,"[""can be hunted"", ""can be used for hunting"", ""hunting"", ""hunts"", ""often hunted"", ""used for hunting""]",B_66bdc2111a96,71,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bow"", ""deer"", ""dog"", ""double barrelled shotgun"", ""duck"", ""falcon"", ""lion"", ""pheasant"", ""pike"", ""python"", ""rifle"", ""slingshot"", ""spear""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",251,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
72,v4_85b11f037aa9e0d0,eats fish,"[""eats fish""]",B_670e83a1ca80,72,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""cat"", ""crocodile"", ""eagle"", ""eel"", ""heron"", ""pelican"", ""penguin"", ""seagull"", ""shark"", ""stork""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",241,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
73,v4_355ccad72e35673d,long body,"[""has a long body"", ""long body""]",B_678b6f0086b5,73,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bassoon"", ""boa"", ""caterpillar"", ""centipede"", ""dragonfly"", ""earwig"", ""eel"", ""lizard"", ""python"", ""saxophone"", ""snake"", ""swordfish""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",98,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
74,v4_e8a309c3536537f8,can fly short distances,"[""can fly short distances"", ""flies short distances"", ""flying short distances""]",B_690501fbdd24,74,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bee"", ""chicken"", ""cockroach"", ""grasshopper"", ""ladybug"", ""mosquito"", ""parakeet"", ""peacock"", ""pheasant"", ""rooster"", ""sparrow"", ""turkey""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",510,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
75,v4_c7cb02502b4e7f66,eats grass,"[""eat grass"", ""eats grass""]",B_6add623ffc35,75,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cow"", ""donkey"", ""horse"", ""kangaroo"", ""llama"", ""sheep"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",126,7,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
76,v4_e39ee37064f29fa4,can swim,"[""can swim"", ""swims""]",B_6b223542f267,76,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""boa"", ""caiman"", ""carp"", ""deer"", ""duck"", ""eel"", ""elephant"", ""frog"", ""goldfish"", ""hedgehog"", ""iguana"", ""kangaroo"", ""monitor lizard"", ""pig"", ""seagull"", ""tiger"", ""trout""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",256,17,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
77,v4_8d808ab52b4a6afd,can be electric,"[""can be electric"", ""electric"", ""often electric"", ""usually electric""]",B_6b5b177de2d7,77,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bass guitar"", ""can opener"", ""car"", ""eel"", ""kettle"", ""lawn mower"", ""mixer"", ""percolator"", ""saw"", ""scooter"", ""tram"", ""whisk""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",92,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
78,v4_069b9556c7d062de,large,"[""can be large"", ""is large"", ""large""]",B_6f1aa3d4067e,78,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bison"", ""carp"", ""crocodile"", ""dinosaur"", ""elephant"", ""hippopotamus"", ""moth"", ""piano"", ""rhinoceros"", ""tiger"", ""tractor""]","[""B"", ""C"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",83,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
79,v4_59b96d2a39ecf30e,portable and lightweight,"[""lightweight and portable"", ""portable and lightweight""]",B_6f6bf0bf6ea3,79,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""banjo"", ""bazooka"", ""cap"", ""clarinet"", ""dagger"", ""flute"", ""harmonica"", ""kick scooter"", ""oilcan"", ""pan flute"", ""recorder"", ""rifle"", ""scooter"", ""sieve"", ""skateboard"", ""slingshot"", ""stick"", ""tambourine""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",422,18,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
80,v4_f58e17c8b1eb530c,can be used as a weapon,"[""can be used as a weapon"", ""used as a weapon""]",B_723971db530c,80,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""anvil"", ""axe"", ""bat"", ""bow"", ""club"", ""crowbar"", ""dagger"", ""fork"", ""grenade"", ""hammer"", ""knife"", ""knuckle dusters"", ""pickaxe"", ""scissors"", ""shovel"", ""spear"", ""stick"", ""sword"", ""tongs"", ""whip""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",521,20,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
81,v4_719a31e2eb020bc5,climbs trees,"[""can climb trees"", ""climbs trees"", ""often climbs trees""]",B_73f6063760d7,81,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cat"", ""chameleon"", ""fox"", ""iguana"", ""lion"", ""lizard"", ""monitor lizard"", ""monkey"", ""snake"", ""squirrel"", ""tiger"", ""woodpecker""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",375,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
82,v4_9030af97a326242d,herbivore,"[""herbivore"", ""herbivorous"", ""is a herbivore""]",B_74d4e1ca5cea,82,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beaver"", ""bison"", ""cow"", ""deer"", ""dinosaur"", ""donkey"", ""elephant"", ""giraffe"", ""hippopotamus"", ""horse"", ""llama"", ""rabbit"", ""rhinoceros"", ""sheep"", ""tortoise"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural"", ""taxonomic_definitional""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",349,16,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
83,v4_04d93ddb9864ac1c,made of metal and wood,"[""commonly made of metal and wood"", ""made of metal and wood"", ""made of wood and metal"", ""often made of wood and metal""]",B_76494bf41070,83,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""accordion"", ""axe"", ""banjo"", ""carriage"", ""double barrelled shotgun"", ""hammer"", ""harmonica"", ""harp"", ""organ"", ""piano"", ""pickaxe"", ""pike"", ""plough"", ""rifle"", ""shovel"", ""skateboard"", ""spear"", ""wheelbarrow""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",412,18,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
84,v4_03d3f5d0d48f845a,lives near water,"[""lives near water""]",B_77c27889c7b7,84,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beaver"", ""dragonfly"", ""duck"", ""frog"", ""heron"", ""mosquito"", ""pelican"", ""salamander"", ""seagull"", ""stork"", ""swan""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",332,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
85,v4_023d691a4e758811,long neck,"[""can have a long neck"", ""has a long neck"", ""long neck"", ""long necks"", ""long-necked""]",B_77f6a06690bb,85,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""banjo"", ""bass guitar"", ""dinosaur"", ""double bass"", ""dromedary"", ""giraffe"", ""guitar"", ""heron"", ""llama"", ""monitor lizard"", ""ostrich"", ""peacock"", ""polar bear"", ""swan"", ""turkey"", ""turtle"", ""violin"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",646,18,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
86,v4_3d0933c52c0fe236,eats seeds,"[""eats seeds""]",B_784f7ae8c557,86,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""canary"", ""chickadee"", ""dove"", ""duck"", ""hamster"", ""parakeet"", ""parrot"", ""sparrow""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",151,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
87,v4_d4ad7ab04d085311,often brightly colored,"[""brightly colored"", ""can be brightly colored"", ""is often brightly colored"", ""often brightly colored""]",B_7e5cbcf8fcfa,87,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""(hot air) balloon"", ""bathing suit"", ""beetle"", ""butterfly"", ""canary"", ""caterpillar"", ""centipede"", ""dragonfly"", ""go-cart"", ""goldfish"", ""mittens"", ""parrot"", ""salamander"", ""top"", ""worm""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",292,15,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
88,v4_28babbbe9dfc868f,has a beak,"[""beak"", ""has a beak"", ""has beak""]",B_8288a0f3f65f,88,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blackbird"", ""chicken"", ""falcon"", ""parakeet"", ""parrot"", ""penguin"", ""sparrow"", ""squid""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",152,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
89,v4_468d856206c723ff,migrates seasonally,"[""migrates seasonally""]",B_82a3e46e22de,89,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blackbird"", ""crow"", ""cuckoo"", ""deer"", ""dove"", ""duck"", ""herring"", ""orca"", ""plaice"", ""polar bear"", ""robin"", ""seagull"", ""sparrow"", ""sperm whale"", ""stickleback"", ""stork"", ""swallow"", ""swan"", ""woodpecker""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""functional_affordance""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",274,19,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
90,v4_f0d4a65ca73921e6,flies,"[""can fly"", ""flies"", ""flying""]",B_839eb7db3283,90,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bat"", ""bee"", ""beetle"", ""blackbird"", ""bumblebee"", ""butterfly"", ""cockroach"", ""crow"", ""cuckoo"", ""dove"", ""dragonfly"", ""duck"", ""eagle"", ""earwig"", ""falcon"", ""fly"", ""fruit fly"", ""heron"", ""horsefly"", ""ladybug"", ""maybug"", ""mosquito"", ""moth"", ""parakeet"", ""parrot"", ""pelican"", ""pheasant"", ""plane"", ""seagull"", ""sparrow"", ""stork"", ""swallow"", ""swan"", ""trout"", ""wasp"", ""woodpecker""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",769,36,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
91,v4_2adf0237d919b44a,varies in size,"[""can vary in size"", ""varies in size"", ""vary in size""]",B_86ce35c2c116,91,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""adjustable spanner"", ""airplane"", ""bat"", ""beetle"", ""boat"", ""bowl"", ""car"", ""cart"", ""centipede"", ""clamp"", ""club"", ""colander"", ""cymbals"", ""dog"", ""drill"", ""drum"", ""filling knife"", ""fork"", ""fridge"", ""goldfish"", ""grinding disc"", ""harp"", ""kettle"", ""knife"", ""leech"", ""lizard"", ""monkey"", ""moth"", ""mug"", ""nail"", ""nutcracker"", ""oilcan"", ""organ"", ""paint brush"", ""pan"", ""pan flute"", ""piano"", ""piranha"", ""plane"", ""plate"", ""pot"", ""saw"", ""scissors"", ""shield"", ""shovel"", ""sieve"", ""snake"", ""spatula"", ""spider"", ""spoon"", ""stove"", ""top"", ""tortoise"", ""trailer"", ""triangle"", ""truck"", ""turtle"", ""whisk"", ""wok"", ""worm""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",525,60,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
92,v4_32d7a33320fd496c,scaly skin,"[""has scaly skin"", ""scaly skin""]",B_87b6bcf8d6bd,92,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""carp"", ""crocodile"", ""dinosaur"", ""iguana"", ""lizard"", ""monitor lizard"", ""python"", ""tortoise""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",122,10,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
93,v4_98afa6b4bdf76bf4,often seen in groups,"[""is often seen in groups"", ""often seen in groups""]",B_8aa2cfe43405,93,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cockroach"", ""crow"", ""deer"", ""dolphin"", ""kangaroo"", ""monkey"", ""penguin"", ""sparrow"", ""swallow"", ""vulture"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",202,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
94,v4_052dbff4db962683,comes in various colors,"[""come in various colors"", ""comes in various colors"", ""often comes in various colors""]",B_8b552931df7a,94,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""apron"", ""beanie"", ""belt"", ""bicycle"", ""blouse"", ""boots"", ""bow"", ""bra"", ""cap"", ""car"", ""cat"", ""chicken"", ""coat"", ""dress"", ""duck"", ""electric kettle"", ""glass"", ""hamster"", ""hat"", ""jeans"", ""kick scooter"", ""mittens"", ""motorbike"", ""mouse"", ""mug"", ""panties"", ""pants"", ""place mat"", ""pullover"", ""pyjamas"", ""recorder"", ""rope"", ""scales"", ""scarf"", ""scooter"", ""shirt"", ""shoes"", ""shorts"", ""skirt"", ""snake"", ""sole"", ""squirrel"", ""suit"", ""sweater"", ""t-shirt"", ""tie"", ""toaster"", ""tongs"", ""towel"", ""tracksuit""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",643,50,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
95,v4_0cb65f51764a1dad,carries passengers,"[""can carry passengers"", ""carries passengers""]",B_8bb4730e16b1,95,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""(hot air) balloon"", ""airplane"", ""boat"", ""bus"", ""car"", ""carriage"", ""helicopter"", ""plane"", ""subway train"", ""train"", ""tram"", ""zeppelin""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",353,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
96,v4_3b804644d01bf01f,often has a collar,"[""often has a collar"", ""typically has a collar"", ""usually has a collar""]",B_8bbf35478007,96,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blouse"", ""coat"", ""dress"", ""pullover"", ""shirt"", ""sweater"", ""t-shirt""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",299,7,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
97,v4_9b80733e9d345ace,has a curved beak,"[""curved beak"", ""has a curved beak""]",B_8c9db1dde97b,97,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cuckoo"", ""falcon"", ""heron"", ""parakeet"", ""parrot"", ""robin"", ""seagull"", ""stork""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",192,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
98,v4_3b1bb23b615ada38,large body,"[""has a large body"", ""large body""]",B_8e42431bd331,98,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bass guitar"", ""cow"", ""hippopotamus"", ""polar bear"", ""rhinoceros"", ""tiger"", ""whale""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",57,7,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
99,v4_7c11f745705881f6,used in sports,"[""can be used in sports"", ""commonly used in sports"", ""used in sports""]",B_8ead78136c18,99,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bat"", ""cap"", ""club"", ""cricket"", ""horse"", ""pistol"", ""rope"", ""socks"", ""tracksuit""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",151,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
